sl_no,slide_no,state,district,slide_name,nh_sh_location,latitude,longitude,material_involved,movement_type,history
27986,TN/NIL/58A11/2019/30,Tamil Nadu,Nilgiri,Emeralad slide-4,Emeralad,11.31546111,76.62583722,Rock cum debris,Slide,08 August 2019 (7-8 pm)
27987,TN/NIL/58A07/2019/31,Tamil Nadu,Nilgiri,Not Available,Emeralad along the downstream of nala,11.31468333,76.62637222,Rock cum debris,Slide,08 August 2019 (7 am)
27988,TN/NIL/58A07/2019/32,Tamil Nadu,Nilgiri,Not Available,Emeralad along the downstream of nala,11.31385,76.62715,Debris,Subsidence,08 August 2019 (7 pm)
27989,TN/NIL/58A07/2019/33,Tamil Nadu,Nilgiri,Not Available,Nerkandi,11.31278333,76.62521111,Debris,Slide,08 August 2019
27990,TN/NIL/58A07/2019/34,Tamil Nadu,Nilgiri,Not Available,New Attabail,11.30375972,76.62717194,Debris,Slide,08 August 2019 (8-9 am)
27991,TN/NIL/58A07/2019/35,Tamil Nadu,Nilgiri,Not Available,New Attubail,11.31278333,76.62521111,Debris,Slide,08 August 2019 (8-9 am)
27992,TN/NIL/58A07/2019/36,Tamil Nadu,Nilgiri,Not Available,New Attubail,11.30446639,76.61826861,Debris,Slide,07 August 2019 (10:45 pm)
27993,TN/NIL/58A07/2019/37,Tamil Nadu,Nilgiri,Not Available,New Attubail,11.30400222,76.61938694,Debris,Slide,08 August 2019
27994,TN/NIL/58A07/2019/38,Tamil Nadu,Nilgiri,Not Available,New Attubail,11.30533472,76.61881611,Debris,Slide,08 August 2019
27995,TN/NIL/58A07/2019/39,Tamil Nadu,Nilgiri,Not Available,Newattboil,11.30718056,76.61859444,Debris,Slide,08 August 2019 (08:00 am)
27996,TN/NIL/58A07/2019/40,Tamil Nadu,Nilgiri,Not Available,Newattboil,11.30777778,76.61816667,Debris,Slide,8 August 2019
27997,TN/NIL/58A07/2019/41,Tamil Nadu,Nilgiri,Not Available,Ghandikandi,11.3034,76.62228333,Debris,Slide,8 August 2019 (2:30 pm)
27998,TN/NIL/58A07/2019/42,Tamil Nadu,Nilgiri,Not Available,Road towards Eddakadu village,11.30527222,76.63084722,Debris,Slide,8 August 2019
27999,TN/NIL/58A07/2019/43,Tamil Nadu,Nilgiri,Not Available,Pathakandi village,11.29669444,76.63436111,Debris,Slide,8 August 2019
28000,TN/NIL/58A07/2019/44,Tamil Nadu,Nilgiri,Not Available,Avalanchi Forest Road,11.31093611,76.61947778,Debris,Slide,8 August 2019
28001,TN/NIL/58A07/2019/45,Tamil Nadu,Nilgiri,Not Available,Bharathi Nagar,11.31245,76.632075,Debris,Slide,8 August 2019 (2:00 pm)
28002,TN/NIL/58A07/2019/46,Tamil Nadu,Nilgiri,Not Available,Bharathi Nagar,11.309525,76.63230278,Debris,Slide,8 August 2019
28003,TN/NIL/58A07/2019/47,Tamil Nadu,Nilgiri,Not Available,Bharathi Nagar,11.31091389,76.61695,Debris,Slide,8 August 2019 (2:00 pm)
28004,TN/NIL/58A07/2019/48,Tamil Nadu,Nilgiri,Not Available,Emerald,11.31774167,76.62316667,Debris,Slide,8 August 2019
28005,TN/NIL/58A11/2019/49,Tamil Nadu,Nilgiri,Not Available,Emerald,11.31813889,76.62159722,Rock cum debris,Slide,8 August 2019
28006,TN/NIL/58A11/2019/50,Tamil Nadu,Nilgiri,Not Available,Emerald Dam,11.32480833,76.61985556,Debris,Slide,8 August 2019
28007,TN/NIL/58A11/2019/51,Tamil Nadu,Nilgiri,Not Available,Emerald Dam towards Kattukupai,11.34251667,76.59768611,Debris,Slide,8 August 2019
28008,TN/NIL/58A11/2019/52,Tamil Nadu,Nilgiri,Not Available,Emerald Dam towards Kattukupai,11.34599167,76.59545,Debris,Slide,8 August 2019
28009,TN/NIL/58A07/2019/53,Tamil Nadu,Nilgiri,Not Available,Near Bharathiyar University College,11.49304444,76.45360278,Debris,Slide,8 August 2019
28010,TN/NIL/58A07/2019/54,Tamil Nadu,Nilgiri,Not Available,Near Bharathiyar University College,11.49326667,76.45346667,Debris,Slide,8 August 2019
28011,TN/NIL/58A07/2019/55,Tamil Nadu,Nilgiri,Not Available,Near 1.5km NE of Nadugani Village,11.47850556,76.4215,Debris,Slide,8 August 2019
28012,TN/NIL/58A07/2019/56,Tamil Nadu,Nilgiri,Not Available,Near Marala Malai,11.45208333,76.40720278,Debris,Slide,8 August 2019
28013,TN/NIL/58A07/2019/57,Tamil Nadu,Nilgiri,Not Available,Near Marala Malai (Kil Nadugani),11.44234444,76.39845278,Rock cum Debris,Slide,8 August 2019
28014,TN/NIL/58A07/2019/58,Tamil Nadu,Nilgiri,Not Available,Near Marala Malai (Kil Nadugani),11.438075,76.39306111,Debris,Slide,8 August 2019
28015,TN/NIL/58A07/2019/59,Tamil Nadu,Nilgiri,Not Available,Near Marala Malai (Kil Nadugani),11.43790556,76.39236111,Debris,Slide,8 August 2019
28016,TN/NIL/58A07/2019/60,Tamil Nadu,Nilgiri,Not Available,Near Panthalur,11.50833333,76.31916667,Debris flow,Flow,8 August 2019
28017,TN/NIL/58A07/2019/61,Tamil Nadu,Nilgiri,Kattukuppai debris flow,"Road from Emerald colony to Kundah PH-6, Kattukuppai",11.34749,76.59668,Debris,Flow,8 August 2019
28018,TN/NIL/58A/11/2019/62,Tamil Nadu,Nilgiri,TNEB PH-6 debris slide,"TNEB R-type quarters, Kattukuppai",11.36275,76.60348,Debris,Slide,8 August 2019
28019,TN/NIL/58A/11/2019/63,Tamil Nadu,Nilgiri,TNEB PH-6 debris slide 2,"TNEB, R-Type quarters, Kundah PH-6",11.34398,76.63676,Debris,Slide,8 August 2019
28020,TN/NIL/58A/11/2019/64,Tamil Nadu,Nilgiri,TNEB PH-6 debris slide 3,"Downslope of road from TNEB, R-Type quarters to PH-6",11.36296,76.60427,Debris,Slide,8 August 2019
28021,TN/NIL/58A/11/2019/65,Tamil Nadu,Nilgiri,PH-6 road cut slope failure,Road from Emerald colony to PH-6,11.36133,76.60171,Earth,Slide,8 August 2019
28022,TN/NIL/58A/11/2019/66,Tamil Nadu,Nilgiri,West of Emerald Earth slide,West of Emerald colony,11.32286,76.61794,Earth,Slide,8 August 2019
28023,TN/NIL/58A/11/2019/67,Tamil Nadu,Nilgiri,Emerald colony Earth slide,Emerald colony,11.32247,76.6224,Earth,Slide,8 August 2019
28024,TN/NIL/58A/11/2019/68,Tamil Nadu,Nilgiri,Emerald colony cut slope failure,Emerald colony,11.32275,76.62117,Earth,Slide,8 August 2019
28025,TN/NIL/58A/11/2019/69,Tamil Nadu,Nilgiri,Kundah road Earth flow 1,Approach road to Kundah PH-6,11.34464,76.59638,Earth,Flow,8 August 2019
28026,TN/NIL/58A/11/2019/70,Tamil Nadu,Nilgiri,Kundah road Earth flow 2,Approach road to Kundah PH-6,11.34471,76.59548,Earth,Flow,8 August 2019
28027,TN/NIL/58A/11/2019/71,Tamil Nadu,Nilgiri,Kundah road cut slope failure,Approach road to Kundah PH-6,11.35807,76.59917,Debris,slide,8 August 2019
28028,TN/NIL/58A/11/2019/72,Tamil Nadu,Nilgiri,TRT exit stream bank failure,South of Kundah PH-6,11.36013,76.60118,Debris,slide,8 August 2019
28029,TN/NIL/58A/11/2019/73,Tamil Nadu,Nilgiri,Kundah PH 6 road stream bank failure,Downslope of Kundah Power house-6 road,11.36078,76.60156,Debris,slide,8 August 2019
28030,TN/NIL/58A/11/2019/74,Tamil Nadu,Nilgiri,Silambu north west slide1,North West of Silambu,11.35854,76.59167,Debris,slide,8 August 2019
28031,TN/NIL/58A/11/2019/75,Tamil Nadu,Nilgiri,Silambu north west slide2,North West of Silambu,11.36079,76.59161,Debris,slide,8 August 2019
28032,TN/NIL/58A/11/2019/76,Tamil Nadu,Nilgiri,Red Hill Nature Resort subsidence,"Red Hill Nature Resort, Emerald road",11.34166,76.59664,Earth,Subsidence,8 August 2019
28033,TN/NIL/58A/11/2019/77,Tamil Nadu,Nilgiri,Indra Nagar colony cut slope failure,"Indra Nagar colony, Emarald",11.33736,76.60422,Debris,slide,8 August 2019
28034,TN/SAL/58I02/2022/1,Tamil Nadu,Salem,,Salem-Yercaud road Corridor,11.74043917,78.18203667,Debris,Slide,4 September 2022
28035,TN/SAL/58I02/2022/2,Tamil Nadu,Salem,,Salem-Yercaud road Corridor,11.74705472,78.185225,Debris,Slide,4 September 2022
28036,TN/SAL/58I03/2022/3,Tamil Nadu,Salem,,Salem-Yercaud road Corridor,11.7484725,78.18662694,Debris/Rock,Slide/Fall,4 September 2022
28037,TN/SAL/58I01/2022/4,Tamil Nadu,Salem,,Salem-Yercaud road Corridor,11.7501675,78.18769167,Debris,Slide,4 September 2022
28038,TN/SAL/58I01/2022/5,Tamil Nadu,Salem,60 feet bridge,Salem-Yercaud road Corridor,11.75093778,78.18851,Debris cum rock,Flow/slide/Fall,4 September 2022
28039,TN/SAL/58I01/2022/6,Tamil Nadu,Salem,,Salem-Yercaud road Corridor,11.76150028,78.188325,Rock cum Debris,Slide,4 September 2022
28040,TN/SAL/58I01/2022/7,Tamil Nadu,Salem,,Salem-Yercaud road Corridor,11.76307472,78.18866333,Debris,Slide,4 September 2022
28041,TN/SAL/58I01/2022/8,Tamil Nadu,Salem,,Salem-Yercaud road Corridor,11.76376111,78.18828694,Debris,Slide,4 September 2022
28042,TN/SAL/58I012022/9,Tamil Nadu,Salem,,Salem-Yercaud road Corridor,11.7645275,78.18838167,Debris,Slide,4 September 2022
28043,TN/SAL/58I05/2022/10,Tamil Nadu,Salem,,Yarcaud-Kuppanur road section,11.77961444,78.27011667,Debris,Slide,4 September 2022
28044,TN/SAL/58I05/2022/11,Tamil Nadu,Salem,Near Muniyappan Temple,Yarcaud-Kuppanur road section,11.77561444,78.270105,Debris,Slide,4 September 2022
28045,TN/SAL/58I05/2022/12,Tamil Nadu,Salem,,Yarcaud-Kuppanur road section,11.77557639,78.26948667,Debris,Slide,4 September 2022
28046,TN/NIL/58A07/2022/1,Tamil Nadu,Nilgiri,Nadu Gudalur,Pillayar Koil Street,11.497633,76.497433,Debris,Flow,18 August 2022
28047,TN/NIL/58A11/2022/2,Tamil Nadu,Nilgiri,Nadu Gudalur NH slide,Nadu Gudalur NH slide,11.495153,76.516963,Debris,Subsidence,18 August 2022
28048,TN/NIL/58A11/2022/3,Tamil Nadu,Nilgiri,Gudalur Government college,Gudalur college slide,11.492567,76.453354,Debris,Slide,18 August 2022
